ID_caso,Numero_SIAF,Numero_Orden_Compra_SIGES,T1_Identificacion_clara,T2_Fecha_inicio_documentada,T3_Responsable_o_area,T4_Historial_devoluciones_reconstruible,T5_Estado_final_DAF_claro,T6_Versiones_distinguibles,T7_Fecha_cambios_localizable,Cumple_global_T1_a_T5,Minutos_localizar_ultima_version_y_estado,Observaciones
LB-01,,,,,,,,,,,,
LB-02,,,,,,,,,,,,
LB-03,,,,,,,,,,,,
LB-04,,,,,,,,,,,,
LB-05,,,,,,,,,,,,
LB-06,,,,,,,,,,,,
LB-07,,,,,,,,,,,,
LB-08,,,,,,,,,,,,
LB-09,,,,,,,,,,,,
LB-10,,,,,,,,,,,,
LB-11,,,,,,,,,,,,
LB-12,,,,,,,,,,,,
LB-13,,,,,,,,,,,,
LB-14,,,,,,,,,,,,
LB-15,,,,,,,,,,,,
LB-16,,,,,,,,,,,,
LB-17,,,,,,,,,,,,
LB-18,,,,,,,,,,,,
LB-19,,,,,,,,,,,,
LB-20,,,,,,,,,,,,
LB-21,,,,,,,,,,,,
LB-22,,,,,,,,,,,,
LB-23,,,,,,,,,,,,
LB-24,,,,,,,,,,,,
LB-25,,,,,,,,,,,,
